Time,Open,High,Low,Last,Change,%Chg,Volume
"11/25/2024 13:25",597.21,597.38,597.12,597.1503,-0.0797,-0.01%,97407
"11/25/2024 13:20",597.17,597.26,596.91,597.23,0.04,+0.01%,166353
"11/25/2024 13:15",597.36,597.44,597.11,597.19,-0.18,-0.03%,344947
"11/25/2024 13:10",597.05,597.4,597.05,597.37,0.3201,+0.05%,169957
"11/25/2024 13:05",597.03,597.25,596.84,597.0499,0.0292,0.00%,283479
"11/25/2024 13:00",596.4601,597.09,596.421,597.0207,0.5642,+0.09%,171797
"11/25/2024 12:55",596.43,596.63,596.2,596.4565,0.0266,0.00%,120639
"11/25/2024 12:50",595.79,596.49,595.7799,596.4299,0.6299,+0.11%,240136
"11/25/2024 12:45",595.51,595.855,595.2,595.8,0.2708,+0.05%,316259
"11/25/2024 12:40",596.11,596.18,595.2401,595.5292,-0.6008,-0.10%,206806
"11/25/2024 12:35",596.4301,596.5,596.02,596.13,-0.31,-0.05%,161644
"11/25/2024 12:30",596.04,596.58,595.98,596.44,0.4,+0.07%,279121
"11/25/2024 12:25",596.09,596.54,595.75,596.04,-0.06,-0.01%,394117
"11/25/2024 12:20",596.52,596.57,596.08,596.1,-0.45,-0.08%,312609
"11/25/2024 12:15",596.61,596.7499,596.33,596.55,-0.0501,-0.01%,237009
"11/25/2024 12:10",597.2289,597.3,596.57,596.6001,-0.6199,-0.10%,433842
"11/25/2024 12:05",597.42,597.6,597.19,597.22,-0.2,-0.03%,192496
"11/25/2024 12:00",597.255,597.45,597.1,597.42,0.15,+0.03%,204546
"11/25/2024 11:55",597.46,597.62,597.2301,597.27,-0.19,-0.03%,166624
"11/25/2024 11:50",597.28,597.6,597.18,597.46,0.21,+0.04%,177820
"11/25/2024 11:45",597.35,597.61,597.14,597.25,-0.1099,-0.02%,222752
"11/25/2024 11:40",597.385,597.62,597.29,597.3599,-0.0383,-0.01%,213671
"11/25/2024 11:35",597.78,597.96,597.3,597.3982,-0.4118,-0.07%,307022
"11/25/2024 11:30",597.97,598.38,597.73,597.81,-0.18,-0.03%,170136
"11/25/2024 11:25",598.335,598.41,597.99,597.99,-0.35,-0.06%,279990
"11/25/2024 11:20",598.28,598.43,598.16,598.34,0.04,+0.01%,235603
